raceId,year,round,circuitId,name,date,time,url,positionPointsRace
809,1953,2,19,Indianapolis 500,30-05-1953,\N,http://en.wikipedia.org/wiki/1953_Indianapolis_500,5
810,1953,3,39,Dutch Grand Prix,07-06-1953,\N,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,5
811,1953,4,13,Belgian Grand Prix,21-06-1953,\N,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,5
812,1953,5,55,French Grand Prix,05-07-1953,\N,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,5
813,1953,6,9,British Grand Prix,18-07-1953,\N,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,5
814,1953,7,20,German Grand Prix,02-08-1953,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,5
815,1953,8,66,Swiss Grand Prix,23-08-1953,\N,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,5
816,1953,9,14,Italian Grand Prix,13-09-1953,\N,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,5
799,1954,1,25,Argentine Grand Prix,17-01-1954,\N,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,5
800,1954,2,19,Indianapolis 500,31-05-1954,\N,http://en.wikipedia.org/wiki/1954_Indianapolis_500,5
801,1954,3,13,Belgian Grand Prix,20-06-1954,\N,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,5
802,1954,4,55,French Grand Prix,04-07-1954,\N,http://en.wikipedia.org/wiki/1954_French_Grand_Prix,5
803,1954,5,9,British Grand Prix,17-07-1954,\N,http://en.wikipedia.org/wiki/1954_British_Grand_Prix,5
804,1954,6,20,German Grand Prix,01-08-1954,\N,http://en.wikipedia.org/wiki/1954_German_Grand_Prix,5
805,1954,7,66,Swiss Grand Prix,22-08-1954,\N,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,5
806,1954,8,14,Italian Grand Prix,05-09-1954,\N,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,5
807,1954,9,67,Spanish Grand Prix,24-10-1954,\N,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,5
792,1955,1,25,Argentine Grand Prix,16-01-1955,\N,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,5
793,1955,2,6,Monaco Grand Prix,22-05-1955,\N,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,5
794,1955,3,19,Indianapolis 500,30-05-1955,\N,http://en.wikipedia.org/wiki/1955_Indianapolis_500,5
795,1955,4,13,Belgian Grand Prix,05-06-1955,\N,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,5
796,1955,5,39,Dutch Grand Prix,19-06-1955,\N,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,5
797,1955,6,58,British Grand Prix,16-07-1955,\N,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,5
798,1955,7,14,Italian Grand Prix,11-09-1955,\N,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,5
784,1956,1,25,Argentine Grand Prix,22-01-1956,\N,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,5
785,1956,2,6,Monaco Grand Prix,13-05-1956,\N,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,5
786,1956,3,19,Indianapolis 500,30-05-1956,\N,http://en.wikipedia.org/wiki/1956_Indianapolis_500,5
787,1956,4,13,Belgian Grand Prix,03-06-1956,\N,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,5
788,1956,5,55,French Grand Prix,01-07-1956,\N,http://en.wikipedia.org/wiki/1956_French_Grand_Prix,5
789,1956,6,9,British Grand Prix,14-07-1956,\N,http://en.wikipedia.org/wiki/1956_British_Grand_Prix,5
790,1956,7,20,German Grand Prix,05-08-1956,\N,http://en.wikipedia.org/wiki/1956_German_Grand_Prix,5
791,1956,8,14,Italian Grand Prix,02-09-1956,\N,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,5
776,1957,1,25,Argentine Grand Prix,13-01-1957,\N,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,5
777,1957,2,6,Monaco Grand Prix,19-05-1957,\N,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,5
778,1957,3,19,Indianapolis 500,30-05-1957,\N,http://en.wikipedia.org/wiki/1957_Indianapolis_500,5
779,1957,4,53,French Grand Prix,07-07-1957,\N,http://en.wikipedia.org/wiki/1957_French_Grand_Prix,5
780,1957,5,58,British Grand Prix,20-07-1957,\N,http://en.wikipedia.org/wiki/1957_British_Grand_Prix,5
781,1957,6,20,German Grand Prix,04-08-1957,\N,http://en.wikipedia.org/wiki/1957_German_Grand_Prix,5
782,1957,7,65,Pescara Grand Prix,18-08-1957,\N,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,5
783,1957,8,14,Italian Grand Prix,08-09-1957,\N,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,5
765,1958,1,25,Argentine Grand Prix,19-01-1958,\N,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,5
766,1958,2,6,Monaco Grand Prix,18-05-1958,\N,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix,5
767,1958,3,39,Dutch Grand Prix,26-05-1958,\N,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix,5
768,1958,4,19,Indianapolis 500,30-05-1958,\N,http://en.wikipedia.org/wiki/1958_Indianapolis_500,5
769,1958,5,13,Belgian Grand Prix,15-06-1958,\N,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,5
770,1958,6,55,French Grand Prix,06-07-1958,\N,http://en.wikipedia.org/wiki/1958_French_Grand_Prix,5
771,1958,7,9,British Grand Prix,19-07-1958,\N,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,5
772,1958,8,20,German Grand Prix,03-08-1958,\N,http://en.wikipedia.org/wiki/1958_German_Grand_Prix,5
773,1958,9,59,Portuguese Grand Prix,24-08-1958,\N,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,5
774,1958,10,14,Italian Grand Prix,07-09-1958,\N,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,5
775,1958,11,64,Moroccan Grand Prix,19-10-1958,\N,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,5
756,1959,1,6,Monaco Grand Prix,10-05-1959,\N,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,5
757,1959,2,19,Indianapolis 500,30-05-1959,\N,http://en.wikipedia.org/wiki/1959_Indianapolis_500,5
758,1959,3,39,Dutch Grand Prix,31-05-1959,\N,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,5
759,1959,4,55,French Grand Prix,05-07-1959,\N,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,5
760,1959,5,58,British Grand Prix,18-07-1959,\N,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,5
761,1959,6,61,German Grand Prix,02-08-1959,\N,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,5
762,1959,7,62,Portuguese Grand Prix,23-08-1959,\N,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,5
763,1959,8,14,Italian Grand Prix,13-09-1959,\N,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,5
764,1959,9,63,United States Grand Prix,12-12-1959,\N,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,5
746,1960,1,25,Argentine Grand Prix,07-02-1960,\N,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,6
747,1960,2,6,Monaco Grand Prix,29-05-1960,\N,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix,6
748,1960,3,19,Indianapolis 500,30-05-1960,\N,http://en.wikipedia.org/wiki/1960_Indianapolis_500,6
749,1960,4,39,Dutch Grand Prix,06-06-1960,\N,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix,6
750,1960,5,13,Belgian Grand Prix,19-06-1960,\N,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,6
751,1960,6,55,French Grand Prix,03-07-1960,\N,http://en.wikipedia.org/wiki/1960_French_Grand_Prix,6
752,1960,7,9,British Grand Prix,16-07-1960,\N,http://en.wikipedia.org/wiki/1960_British_Grand_Prix,6
753,1960,8,59,Portuguese Grand Prix,14-08-1960,\N,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix,6
754,1960,9,14,Italian Grand Prix,04-09-1960,\N,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix,6
755,1960,10,60,United States Grand Prix,20-11-1960,\N,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix,6
738,1961,1,6,Monaco Grand Prix,14-05-1961,\N,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix,6
739,1961,2,39,Dutch Grand Prix,22-05-1961,\N,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix,6
740,1961,3,13,Belgian Grand Prix,18-06-1961,\N,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,6
741,1961,4,55,French Grand Prix,02-07-1961,\N,http://en.wikipedia.org/wiki/1961_French_Grand_Prix,6
742,1961,5,58,British Grand Prix,15-07-1961,\N,http://en.wikipedia.org/wiki/1961_British_Grand_Prix,6
743,1961,6,20,German Grand Prix,06-08-1961,\N,http://en.wikipedia.org/wiki/1961_German_Grand_Prix,6
744,1961,7,14,Italian Grand Prix,10-09-1961,\N,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix,6
745,1961,8,46,United States Grand Prix,08-10-1961,\N,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix,6
729,1962,1,39,Dutch Grand Prix,20-05-1962,\N,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix,6
730,1962,2,6,Monaco Grand Prix,03-06-1962,\N,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix,6
731,1962,3,13,Belgian Grand Prix,17-06-1962,\N,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix,6
732,1962,4,53,French Grand Prix,08-07-1962,\N,http://en.wikipedia.org/wiki/1962_French_Grand_Prix,6
733,1962,5,58,British Grand Prix,21-07-1962,\N,http://en.wikipedia.org/wiki/1962_British_Grand_Prix,6
734,1962,6,20,German Grand Prix,05-08-1962,\N,http://en.wikipedia.org/wiki/1962_German_Grand_Prix,6
735,1962,7,14,Italian Grand Prix,16-09-1962,\N,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix,6
736,1962,8,46,United States Grand Prix,07-10-1962,\N,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix,6
737,1962,9,56,South African Grand Prix,29-12-1962,\N,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix,6
719,1963,1,6,Monaco Grand Prix,26-05-1963,\N,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix,6
720,1963,2,13,Belgian Grand Prix,09-06-1963,\N,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,6
721,1963,3,39,Dutch Grand Prix,23-06-1963,\N,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix,6
722,1963,4,55,French Grand Prix,30-06-1963,\N,http://en.wikipedia.org/wiki/1963_French_Grand_Prix,6
723,1963,5,9,British Grand Prix,20-07-1963,\N,http://en.wikipedia.org/wiki/1963_British_Grand_Prix,6
724,1963,6,20,German Grand Prix,04-08-1963,\N,http://en.wikipedia.org/wiki/1963_German_Grand_Prix,6
725,1963,7,14,Italian Grand Prix,08-09-1963,\N,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix,6
726,1963,8,46,United States Grand Prix,06-10-1963,\N,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix,6
727,1963,9,32,Mexican Grand Prix,27-10-1963,\N,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix,6
728,1963,10,56,South African Grand Prix,28-12-1963,\N,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix,6
709,1964,1,6,Monaco Grand Prix,10-05-1964,\N,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix,6
710,1964,2,39,Dutch Grand Prix,24-05-1964,\N,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix,6
711,1964,3,13,Belgian Grand Prix,14-06-1964,\N,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix,6
712,1964,4,53,French Grand Prix,28-06-1964,\N,http://en.wikipedia.org/wiki/1964_French_Grand_Prix,6
713,1964,5,38,British Grand Prix,11-07-1964,\N,http://en.wikipedia.org/wiki/1964_British_Grand_Prix,6
714,1964,6,20,German Grand Prix,02-08-1964,\N,http://en.wikipedia.org/wiki/1964_German_Grand_Prix,6
715,1964,7,57,Austrian Grand Prix,23-08-1964,\N,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix,6
716,1964,8,14,Italian Grand Prix,06-09-1964,\N,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix,6
717,1964,9,46,United States Grand Prix,04-10-1964,\N,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix,6
718,1964,10,32,Mexican Grand Prix,25-10-1964,\N,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix,6
699,1965,1,56,South African Grand Prix,01-01-1965,\N,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix,6
700,1965,2,6,Monaco Grand Prix,30-05-1965,\N,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix,6
701,1965,3,13,Belgian Grand Prix,13-06-1965,\N,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix,6
702,1965,4,51,French Grand Prix,27-06-1965,\N,http://en.wikipedia.org/wiki/1965_French_Grand_Prix,6
703,1965,5,9,British Grand Prix,10-07-1965,\N,http://en.wikipedia.org/wiki/1965_British_Grand_Prix,6
704,1965,6,39,Dutch Grand Prix,18-07-1965,\N,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix,6
705,1965,7,20,German Grand Prix,01-08-1965,\N,http://en.wikipedia.org/wiki/1965_German_Grand_Prix,6
706,1965,8,14,Italian Grand Prix,12-09-1965,\N,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix,6
707,1965,9,46,United States Grand Prix,03-10-1965,\N,http://en.wikipedia.org/wiki/1965_United_States_Grand_Prix,6
708,1965,10,32,Mexican Grand Prix,24-10-1965,\N,http://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix,6
690,1966,1,6,Monaco Grand Prix,22-05-1966,\N,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix,6
691,1966,2,13,Belgian Grand Prix,12-06-1966,\N,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,6
692,1966,3,55,French Grand Prix,03-07-1966,\N,http://en.wikipedia.org/wiki/1966_French_Grand_Prix,6
693,1966,4,38,British Grand Prix,16-07-1966,\N,http://en.wikipedia.org/wiki/1966_British_Grand_Prix,6
694,1966,5,39,Dutch Grand Prix,24-07-1966,\N,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix,6
695,1966,6,20,German Grand Prix,07-08-1966,\N,http://en.wikipedia.org/wiki/1966_German_Grand_Prix,6
696,1966,7,14,Italian Grand Prix,04-09-1966,\N,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix,6
697,1966,8,46,United States Grand Prix,02-10-1966,\N,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix,6
698,1966,9,32,Mexican Grand Prix,23-10-1966,\N,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix,6
679,1967,1,30,South African Grand Prix,02-01-1967,\N,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix,6
680,1967,2,6,Monaco Grand Prix,07-05-1967,\N,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix,6
681,1967,3,39,Dutch Grand Prix,04-06-1967,\N,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix,6
682,1967,4,13,Belgian Grand Prix,18-06-1967,\N,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix,6
683,1967,5,54,French Grand Prix,02-07-1967,\N,http://en.wikipedia.org/wiki/1967_French_Grand_Prix,6
684,1967,6,9,British Grand Prix,15-07-1967,\N,http://en.wikipedia.org/wiki/1967_British_Grand_Prix,6
685,1967,7,20,German Grand Prix,06-08-1967,\N,http://en.wikipedia.org/wiki/1967_German_Grand_Prix,6
686,1967,8,48,Canadian Grand Prix,27-08-1967,\N,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix,6
687,1967,9,14,Italian Grand Prix,10-09-1967,\N,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix,6
688,1967,10,46,United States Grand Prix,01-10-1967,\N,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix,6
689,1967,11,32,Mexican Grand Prix,22-10-1967,\N,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix,6
667,1968,1,30,South African Grand Prix,01-01-1968,\N,http://en.wikipedia.org/wiki/1968_South_African_Grand_Prix,6
668,1968,2,45,Spanish Grand Prix,12-05-1968,\N,http://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix,6
669,1968,3,6,Monaco Grand Prix,26-05-1968,\N,http://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix,6
670,1968,4,13,Belgian Grand Prix,09-06-1968,\N,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix,6
671,1968,5,39,Dutch Grand Prix,23-06-1968,\N,http://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix,6
672,1968,6,53,French Grand Prix,07-07-1968,\N,http://en.wikipedia.org/wiki/1968_French_Grand_Prix,6
673,1968,7,38,British Grand Prix,20-07-1968,\N,http://en.wikipedia.org/wiki/1968_British_Grand_Prix,6
674,1968,8,20,German Grand Prix,04-08-1968,\N,http://en.wikipedia.org/wiki/1968_German_Grand_Prix,6
675,1968,9,14,Italian Grand Prix,08-09-1968,\N,http://en.wikipedia.org/wiki/1968_Italian_Grand_Prix,6
676,1968,10,52,Canadian Grand Prix,22-09-1968,\N,http://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix,6
677,1968,11,46,United States Grand Prix,06-10-1968,\N,http://en.wikipedia.org/wiki/1968_United_States_Grand_Prix,6
678,1968,12,32,Mexican Grand Prix,03-11-1968,\N,http://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix,6
656,1969,1,30,South African Grand Prix,01-03-1969,\N,http://en.wikipedia.org/wiki/1969_South_African_Grand_Prix,6
657,1969,2,49,Spanish Grand Prix,04-05-1969,\N,http://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix,6
658,1969,3,6,Monaco Grand Prix,18-05-1969,\N,http://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix,6
659,1969,4,39,Dutch Grand Prix,21-06-1969,\N,http://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix,6
660,1969,5,51,French Grand Prix,06-07-1969,\N,http://en.wikipedia.org/wiki/1969_French_Grand_Prix,6
661,1969,6,9,British Grand Prix,19-07-1969,\N,http://en.wikipedia.org/wiki/1969_British_Grand_Prix,6
662,1969,7,20,German Grand Prix,03-08-1969,\N,http://en.wikipedia.org/wiki/1969_German_Grand_Prix,6
663,1969,8,14,Italian Grand Prix,07-09-1969,\N,http://en.wikipedia.org/wiki/1969_Italian_Grand_Prix,6
664,1969,9,48,Canadian Grand Prix,20-09-1969,\N,http://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix,6
665,1969,10,46,United States Grand Prix,05-10-1969,\N,http://en.wikipedia.org/wiki/1969_United_States_Grand_Prix,6
666,1969,11,32,Mexican Grand Prix,19-10-1969,\N,http://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix,6
643,1970,1,30,South African Grand Prix,07-03-1970,\N,http://en.wikipedia.org/wiki/1970_South_African_Grand_Prix,6
644,1970,2,45,Spanish Grand Prix,19-04-1970,\N,http://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix,6
645,1970,3,6,Monaco Grand Prix,10-05-1970,\N,http://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix,6
646,1970,4,13,Belgian Grand Prix,07-06-1970,\N,http://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix,6
647,1970,5,39,Dutch Grand Prix,21-06-1970,\N,http://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix,6
648,1970,6,51,French Grand Prix,05-07-1970,\N,http://en.wikipedia.org/wiki/1970_French_Grand_Prix,6
649,1970,7,38,British Grand Prix,18-07-1970,\N,http://en.wikipedia.org/wiki/1970_British_Grand_Prix,6
650,1970,8,10,German Grand Prix,02-08-1970,\N,http://en.wikipedia.org/wiki/1970_German_Grand_Prix,6
651,1970,9,23,Austrian Grand Prix,16-08-1970,\N,http://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix,6
652,1970,10,14,Italian Grand Prix,06-09-1970,\N,http://en.wikipedia.org/wiki/1970_Italian_Grand_Prix,6
653,1970,11,52,Canadian Grand Prix,20-09-1970,\N,http://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix,6
654,1970,12,46,United States Grand Prix,04-10-1970,\N,http://en.wikipedia.org/wiki/1970_United_States_Grand_Prix,6
655,1970,13,32,Mexican Grand Prix,25-10-1970,\N,http://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix,6
632,1971,1,30,South African Grand Prix,06-03-1971,\N,http://en.wikipedia.org/wiki/1971_South_African_Grand_Prix,6
633,1971,2,49,Spanish Grand Prix,18-04-1971,\N,http://en.wikipedia.org/wiki/1971_Spanish_Grand_Prix,6
634,1971,3,6,Monaco Grand Prix,23-05-1971,\N,http://en.wikipedia.org/wiki/1971_Monaco_Grand_Prix,6
635,1971,4,39,Dutch Grand Prix,20-06-1971,\N,http://en.wikipedia.org/wiki/1971_Dutch_Grand_Prix,6
636,1971,5,34,French Grand Prix,04-07-1971,\N,http://en.wikipedia.org/wiki/1971_French_Grand_Prix,6
637,1971,6,9,British Grand Prix,17-07-1971,\N,http://en.wikipedia.org/wiki/1971_British_Grand_Prix,6
638,1971,7,20,German Grand Prix,01-08-1971,\N,http://en.wikipedia.org/wiki/1971_German_Grand_Prix,6
639,1971,8,23,Austrian Grand Prix,15-08-1971,\N,http://en.wikipedia.org/wiki/1971_Austrian_Grand_Prix,6
640,1971,9,14,Italian Grand Prix,05-09-1971,\N,http://en.wikipedia.org/wiki/1971_Italian_Grand_Prix,6
641,1971,10,48,Canadian Grand Prix,19-09-1971,\N,http://en.wikipedia.org/wiki/1971_Canadian_Grand_Prix,6
642,1971,11,46,United States Grand Prix,03-10-1971,\N,http://en.wikipedia.org/wiki/1971_United_States_Grand_Prix,6
620,1972,1,25,Argentine Grand Prix,23-01-1972,\N,http://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix,6
621,1972,2,30,South African Grand Prix,04-03-1972,\N,http://en.wikipedia.org/wiki/1972_South_African_Grand_Prix,6
622,1972,3,45,Spanish Grand Prix,01-05-1972,\N,http://en.wikipedia.org/wiki/1972_Spanish_Grand_Prix,6
623,1972,4,6,Monaco Grand Prix,14-05-1972,\N,http://en.wikipedia.org/wiki/1972_Monaco_Grand_Prix,6
624,1972,5,50,Belgian Grand Prix,04-06-1972,\N,http://en.wikipedia.org/wiki/1972_Belgian_Grand_Prix,6
625,1972,6,51,French Grand Prix,02-07-1972,\N,http://en.wikipedia.org/wiki/1972_French_Grand_Prix,6
626,1972,7,38,British Grand Prix,15-07-1972,\N,http://en.wikipedia.org/wiki/1972_British_Grand_Prix,6
627,1972,8,20,German Grand Prix,30-07-1972,\N,http://en.wikipedia.org/wiki/1972_German_Grand_Prix,6
628,1972,9,23,Austrian Grand Prix,13-08-1972,\N,http://en.wikipedia.org/wiki/1972_Austrian_Grand_Prix,6
629,1972,10,14,Italian Grand Prix,10-09-1972,\N,http://en.wikipedia.org/wiki/1972_Italian_Grand_Prix,6
630,1972,11,48,Canadian Grand Prix,24-09-1972,\N,http://en.wikipedia.org/wiki/1972_Canadian_Grand_Prix,6
631,1972,12,46,United States Grand Prix,08-10-1972,\N,http://en.wikipedia.org/wiki/1972_United_States_Grand_Prix,6
605,1973,1,25,Argentine Grand Prix,28-01-1973,\N,http://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix,6
606,1973,2,18,Brazilian Grand Prix,11-02-1973,\N,http://en.wikipedia.org/wiki/1973_Brazilian_Grand_Prix,6
607,1973,3,30,South African Grand Prix,03-03-1973,\N,http://en.wikipedia.org/wiki/1973_South_African_Grand_Prix,6
608,1973,4,49,Spanish Grand Prix,29-04-1973,\N,http://en.wikipedia.org/wiki/1973_Spanish_Grand_Prix,6
609,1973,5,40,Belgian Grand Prix,20-05-1973,\N,http://en.wikipedia.org/wiki/1973_Belgian_Grand_Prix,6
610,1973,6,6,Monaco Grand Prix,03-06-1973,\N,http://en.wikipedia.org/wiki/1973_Monaco_Grand_Prix,6
